title,desc,date,datetime,link,site
"California Massively Increased the Amount of Housing the Bay Area Has To Allow. YIMBY Lawsuit Says 'Eh, Could Be More.'",A new lawsuit from two YIMBY groups argues that the state failed to incorporate a jobs-housing balance when calculating the number of new homes the San ...,Feb 9,2021-02-09 14:50:25,news.google.com/./articles/CAIiEGJnXGx-6-U49mz1yaeuwqkqFggEKg0IACoGCAow_p4GMNBYMIqzrwY?hl=en-US&gl=US&ceid=US%3Aen,Reason
Housing plan stirs opposition in College Terrace | Town Square | Palo Alto Online |,"When Palo Alto's city leaders created a ""planned housing"" zone last year to encourage developers to build new housing, they did not anticipate projects like the ...",Feb 12,2021-02-12 08:00:00,news.google.com/./articles/CBMiYWh0dHBzOi8vd3d3LnBhbG9hbHRvb25saW5lLmNvbS9zcXVhcmUvMjAyMS8wMi8xMi9ob3VzaW5nLXBsYW4tc3RpcnMtb3Bwb3NpdGlvbi1pbi1jb2xsZWdlLXRlcnJhY2XSAQA?hl=en-US&gl=US&ceid=US%3Aen,Palo Alto Online
"SPUR, Yimbys say stealth state laws can force more housing | 48 hills","On Friday, February 12, SPUR hosted a webinar entitled “Can Cities Use State Law to Overcome Housing Resistance?” The four panelists, all of the ...",Feb 17,2021-02-17 08:00:00,news.google.com/./articles/CBMiVmh0dHBzOi8vNDhoaWxscy5vcmcvMjAyMS8wMi9zcHVyLXlpbWJ5cy1zYXktc3RlYWx0aC1zdGF0ZS1sYXdzLWNhbi1mb3JjZS1tb3JlLWhvdXNpbmcv0gEA?hl=en-US&gl=US&ceid=US%3Aen,48 Hills
SFBT Monday Digest: Biotech to bulldoze mall; YIMBYs file suit - San Francisco Business Times,"Good morning, happy Monday and congratulations to San Mateo's own Tom Brady on his record seventh Super Bowl ring as a player — but let's be real, six was ...",Feb 8,2021-02-08 08:00:00,news.google.com/./articles/CBMibGh0dHBzOi8vd3d3LmJpempvdXJuYWxzLmNvbS9zYW5mcmFuY2lzY28vbmV3cy8yMDIxLzAyLzA4L3NmYnQtZGlnZXN0LTUtdGhpbmdzLXRvLWtub3ctdG8tc3RhcnQteW91ci1kYXkuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Business Times
Senator Wiener Introduces Four Bills to Spur Housing Production and Address California Housing Crisis,"As California's Housing Crisis continues, Senator Scott Wiener of San Francisco has introduced four bills as part of the Senator's 2021 housing package.",Feb 19,2021-02-19 08:00:00,news.google.com/./articles/CBMiiwFodHRwczovL3d3dy5kYXZpc3Zhbmd1YXJkLm9yZy8yMDIxLzAyL3NlbmF0b3Itd2llbmVyLWludHJvZHVjZXMtZm91ci1iaWxsLXRvLXNwdXItaG91c2luZy1wcm9kdWN0aW9uLWFuZC1hZGRyZXNzLWNhbGlmb3JuaWEtaG91c2luZy1jcmlzaXMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,The People’s Vanguard of Davis
School Board Replacement Measure Introduced by Political Action Committee,"A ballot measure to have school board members appointed by City Hall, instead of being elected, is in the works — but the political action committee behind the ...",4 hours ago,2021-03-09 23:11:52,news.google.com/./articles/CAIiEPJPDIlRJ-tC58YJUgtVOKsqGQgEKhAIACoHCAowmJOfCzClnbcDMNXa7gY?hl=en-US&gl=US&ceid=US%3Aen,SFist
Housing advocates challenge state's calculation of Bay Area housing needs – The San Francisco Examiner,San Francisco housing advocacy group YIMBY Action filed a lawsuit Thursday in Alameda County Superior Court asserting that the calculations the state used ...,Feb 5,2021-02-05 08:00:00,news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvaG91c2luZy1hZHZvY2F0ZXMtY2hhbGxlbmdlLXN0YXRlcy1jYWxjdWxhdGlvbi1vZi1iYXktYXJlYS1ob3VzaW5nLW5lZWRzL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
YIMBYs Sue for Even More Housing Via RHNA,The cry for more homes comes as many Bay Area cities say their housing allocations are already too high.,Feb 4,2021-02-04 08:00:00,news.google.com/./articles/CBMiSGh0dHBzOi8vd3d3LnNmd2Vla2x5LmNvbS9uZXdzL3lpbWJ5cy1zdWUtZm9yLWV2ZW4tbW9yZS1ob3VzaW5nLXZpYS1yaG5hL9IBTGh0dHBzOi8vd3d3LnNmd2Vla2x5LmNvbS9uZXdzL3lpbWJ5cy1zdWUtZm9yLWV2ZW4tbW9yZS1ob3VzaW5nLXZpYS1yaG5hL2FtcC8?hl=en-US&gl=US&ceid=US%3Aen,SF Weekly
YIMBY Action Invades Oakland: Talk With Warren Logan Of City of Oakland About Urbanism,YIMBY Action Invades Oakland: Talk With Warren Logan Of City of Oakland About Urbanism | Oakland News Now Today Blog - SF Bay Area Daily By ...,"Jun 25, 2020",2020-06-25 07:00:00,news.google.com/./articles/CBMifmh0dHBzOi8vb2FrbGFuZG5ld3Nub3cuY29tL3Utcy1uZXdzL3lpbWJ5LWFjdGlvbi1pbnZhZGVzLW9ha2xhbmQtdGFsay13aXRoLXdhcnJlbi1sb2dhbi1vZi1jaXR5LW9mLW9ha2xhbmQtYWJvdXQtdXJiYW5pc20vYW1wL9IBfmh0dHBzOi8vb2FrbGFuZG5ld3Nub3cuY29tL3Utcy1uZXdzL3lpbWJ5LWFjdGlvbi1pbnZhZGVzLW9ha2xhbmQtdGFsay13aXRoLXdhcnJlbi1sb2dhbi1vZi1jaXR5LW9mLW9ha2xhbmQtYWJvdXQtdXJiYW5pc20vYW1wLw?hl=en-US&gl=US&ceid=US%3Aen,Oakland News Now
Zoom Is the Best Thing to Happen to Local Government in Years,He’s about to tell off his mayor.,Feb 17,2021-02-17 10:45:06,news.google.com/./articles/CAIiEJC9LnWVRyj8eIdb5gtQDzoqFQgEKg0IACoGCAowuLUIMNFnMLvgAg?hl=en-US&gl=US&ceid=US%3Aen,Slate
