datetime,article_count
2020-03-29,1
2020-04-05,0
2020-04-12,0
2020-04-19,1
2020-04-26,0
2020-05-03,0
2020-05-10,1
2020-05-17,0
2020-05-24,1
2020-05-31,1
2020-06-07,0
2020-06-14,1
2020-06-21,0
2020-06-28,1
2020-07-05,0
2020-07-12,0
2020-07-19,1
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,2
2020-08-30,0
2020-09-06,2
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,2
2020-10-18,1
2020-10-25,2
2020-11-01,2
2020-11-08,3
2020-11-15,0
2020-11-22,1
2020-11-29,1
2020-12-06,0
2020-12-13,1
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,2
2021-01-17,0
2021-01-24,0
2021-01-31,1
2021-02-07,2
2021-02-14,3
2021-02-21,5
2021-02-28,0
2021-03-07,2
2021-03-14,1
